etiqueta,comentario
queja,no hay internet
queja,al ingresar al sismi para obtener mis pólizas y mi carta renuncia al poner buscar me aparece que no se encuentran resultados llevo mas de 2 semanas asi
felicitación,felicitación por la gestión de los equipos el semestre pasado se encontraban descuidado y con máximo privilegios hoy ya se encuentran en mejor estado y cosas como la deshabilitación de cmd se felicita
queja,La plataforma no funciona correctamente
sugerencia,tener cables de red ethernet disponibles para laptops
sugerencia,muchos de mis compañeros luego se quedan sin grupo a pesar de que tienen un promedio arriba de 8 porque se acaban muy rapido los pocos lugares más en la mañana ya que hay ciertos compañeros que no tienen la posibilidad de ir en la tarde por sus trabajos también siempre que nos reinscribimos aparecen varios profesor como sin asignar al momento de hacer nuestro horario
sugerencia,mas internet en las compus
felicitación,muy buena atención
sugerencia,verificar que el disco duro siempre está al 100
queja,La atención fue muy lenta
felicitación,estuvo padre la actividad
felicitación,buena velocidad un poco lento el internet
queja,No se solucionó el inconveniente
sugerencia,el cambio de salones que hicieron está horrible
sugerencia,que quizá en el futuro puedan haber más máquinas con conexión de internet quizá también que se vigile que no vuelvan a robar equipo de cómputo
sugerencia,sugiero poder conectar el ethernet a nuestro equipo para poder hacer uso del internet y del monitor
queja,deben de haber más grupos y opciones para ia y lcd
sugerencia,buen día me gustaría saber dónde puedo comunicarme con ustedes para poder postularme en ser catedrático soy experto en el área de análisis y vizualizadores de datos por más de 5 años dentro del mundo corporativo en las más importantes empresas de retrail como dando cursos nacional como internacional y busco mucho seguir compartiendo mi conocimientos quedó atento a su respuesta saludos
felicitación,buen servicio muy amables
sugerencia,estaría bien poner linux y windows en todas las compus
felicitación,muy buen servicio
felicitación,ninguna todo bien
sugerencia,mi felicitacion es al profesor mosso que cuando tuve problemas con mi papeleo en el cambio de carrera me ayudo a completar este procedimiento
felicitación,se me atendió de la mejor manera
felicitación,buenas maquinas y conexion a internet
sugerencia,mejorar los servicios de internet sobre todo en los salones de abajo
queja,nº había internet en las maquinas
sugerencia,poner cortinas en otros salones
sugerencia,algunas no tienen internet
queja,por medio de la presente quiero manifestar mi inconformidad respecto al servicio de casilleros que se ofrece en la escuela recientemente se aumentó el costo en 50 pesos de manera repentina y sin justificación alguna lo cual resulta injusto para los estudiantes ya que no se brindó explicación clara ni se notificó con anticipación además del incremento de precio el servicio de entrega de casilleros es deficiente el proceso resulta desorganizado lento y poco eficiente generando molestias innecesarias para quienes cumplimos puntualmente con el pago considero que como alumnos merecemos un trato justo y transparente lo mínimo que se debería garantizar es una explicación clara sobre los aumentos en el costo y una mejora real en la atención y organización al momento de asignar y entregar los casilleros solicito atentamente que se revise esta situación se brinde una respuesta sobre el aumento aplicado y se tomen las medidas necesarias para mejorar el servicio atentamente anónimo
felicitación,muy buena atención y resuelve todas tus dudas amablemente
felicitación,el equipo funciono bien
felicitación,felicitación por mantener los equipos en buen estado
sugerencia,no hay internet en algunas máquinas
felicitación,ha mejorado el rendimiento de más computadoras
sugerencia,buena opción la de juntar a las carreras pasa que se puede convivir con todos
queja,La respuesta fue tardía
felicitación,felicitación por el uso del equipo
felicitación,buen servicio 1010
sugerencia,pedí constancia de estudios y de inscripción y no me deja bajarlas del saes
queja,No resolvieron mi problema
queja,no parece haber un interés en las encuestas se sabe de profesores que no enseñan bien o que de plano no enseñan y pese a las múltiples encuestas la escuela sigue asignándoles muchos grupos
sugerencia,hay problemas de horario al momento de la reinscripción
felicitación,buenos equipos de cómputo
queja,No recibí respuesta a mi solicitud
sugerencia,las máquinas están algo lentas
sugerencia,dispersión de apoyo extraordinario despues del terminal el ciclo escolar
sugerencia,muy bien servicio
felicitación,muy buen servicio
felicitación,ninguna queja en absoluto todo fue fluido
queja,no todas las máquinas tienen internet
felicitación,muy buen servicio el espacio estuvo limpio y todas las computadoras funcionaban bien
felicitación,mosso es bastante atento
sugerencia,no tenían internet
sugerencia,pongan internet a las demás computadoras
sugerencia,muy buena actividad integradora me gustó la dinámica
felicitación,el proceso fue llevado a cabo de manera práctica y eficiente la descripción del taller por parte de la profesora elsa fue muy clara en general ya hecho un excelente trabajo desde que se le asignó la jefatura de formación básica
queja,no tiene internet
sugerencia,internet no funciona
sugerencia,que casi ningún equipo se puede prender
felicitación,una felicitación a la profesora por incentivar el uso de las herramientas que proporciona la institución
queja,la persona que estaba en ventanilla el dia 3 de septiembre a las 120 contesto de manera prepotente y despota sobre la información de un tramite
felicitación,todo muy bien
felicitación,buena actividad para integrar al grupo y los equipos
felicitación,gracias por prestar el servicio
queja,El sistema se cae frecuentemente
felicitación,un poco lento el login
sugerencia,la atención fue buena
felicitación,la máquina no tenía internet
sugerencia,algunas computadoras no tienen internet o no prenden
queja,no hay internet
sugerencia,no había internet
felicitación,muy buen trato
felicitación,muy bien equipo internet y cuenta con los programas que necesito
sugerencia,pongan más cupos para los regulares
sugerencia,fijarse en el internet y la distribución de cables ethernet
felicitación,todo muy bien
sugerencia,muy buen servicio por parte de los chicos de servicio social
queja,acudí a ventanilla de servicios escolares a resolver una duda acerca de mi proceso de reinscripción sin embargo la persona que me atendió se encontraba revisando su celular mientras me atendía de malas seguía utilizando su celular no considero apropiada esta conducta pues ni siquiera parecía interesarle lo que le comentaba
sugerencia,mejor gestión de internet ya que algunos equipos no cuentan con el mismo
felicitación,me atendieron bien
felicitación,todo bien mejorar velocidad de internet
felicitación,muy buen trabajo
sugerencia,pongan internet a las ptras máquinas
sugerencia,hay algunos contactos de luz en el edificio de ia que no sirven o que tienen falso contacto
felicitación,buen servicio sin problemas
sugerencia,se deben incorporar más materias a las clases virtuales
felicitación,el laboratorio esta en excelentes condiciones
sugerencia,muy buena la máquina pero un poco lentos los teclados ya que se les atoraban las teclas
queja,mala internet nefasto
felicitación,pienso que está muy bien el diseño de programas
felicitación,muy buena atención
queja,hoy 7 de marzo pusieron un aviso de que la biblioteca estaría cerrada de 2pm a 4pm ya son las 415 y aún no han abierto quiero revisar un asunto de urgencia del saes
sugerencia,se necesita mejorar el internet
felicitación,muy buena la administración
felicitación,felicitacion muy limpio
felicitación,me gustaría felicitarlos por ese gran chango
felicitación,de momento nada
queja,en la mayoría de computadoras no hay internet
felicitación,las instalaciones están muy bien cuidadas
felicitación,felicitacion atienden bien
sugerencia,el internet en las computadoras
queja,no hay quemador de discos y se requiere para grabar la información en los discos que solicita la catt para tt2
queja,Estoy inconforme con la atención
sugerencia,me gustaría sugerir que ya que el poli tiene contratado un buen internet pero le cuesta servirlo a la comunidad de manea eficiente he observado que una de las maneras más prácticas es distribuirlo de manera más uniforme es decir tener más módems a los que conectarnos esto evita la saturación y mejora la calidad en horas pico lo ideal sería uno por salón con wifi 6 pero ya dependería del presupuesto realmente el problema es que no de puede usar cuando se necesita cuando hay muchos conectados y no se puede gestionar tantas peticiones a la vez e incluso la cobertura falla en algunos salones de ia del 1er piso siento que si no se puede cambiar el sistema a uno como la unam por lo menos se puede resolver así
sugerencia,tener más contactos de luz para poder conectar en caso de traer lap
felicitación,dan un buen servicio
sugerencia,utilizar la plataforma de microsoft 365 en lugar de google
queja,El servicio fue deficiente
queja,errores masivos para inscripción
sugerencia,las computadoras van lentas
sugerencia,no hay internet en todas las máquinas
felicitación,quiero felicitar a yadhira de gestion escolat aue el dia de hoy me atendio en la ventanilla y fue muy amable y atenta me soluciono mi solicitud con una excelente actitud enhorabuena deseo que los demas administrativos me atendiesen como ella lo hizo
sugerencia,finalizó el semestre y no habían realizado la dispersión de fondos
felicitación,felicitación por la facilitación del proceso y eficiencia
felicitación,muy rápido el proceso y fácil
felicitación,mucha paciencia y atención increíble por su parte quedó muy agradecido con el maestro efrén
felicitación,me agradaron las computadora
queja,no había internet
felicitación,buena actitud y disponibilidad todas las veces que he ido
queja,queja sobre las cafeterías que no ofrecen buenos productos ni alimentos por lo que muchos optan por comida fuera más costosa me gustaría que se pudiera armar como en otras escuelas un comedor comunitario no sé si sea el nombre pero para que tengan buena comida y a precio accesible únicamente para estudiantes o que se de un descuento por estudiante
queja,el acceso fue increíblemente tardado su plataforma no registra la salida fue aún peor no había nadie esencialmente tenían mi credencial sin manera de que la recuperara cuando volví otra vez fue lentísimo el proceso y me obligaron a llenar esta encuesta que no debería ser obligatoria
felicitación,funcionan bien las computadoras solo falta que la red este un poco mejor
queja,El personal no dio seguimiento
felicitación,todo bien están bien cuidadas las instalaciones
sugerencia,me solicitaron llenar el formulario
felicitación,fue muy rápido el proceso y fue amable la persona que me atendió incluso me ayudó ya que no tenía tanto tiempo para entregar el fua
queja,me explicaron que al pedir el auditorio de escom se tenía que pedir grupo a la subdirección académica siempre dicen que andan ocupados y cuando dices que no hay problema que esperas te miran mal ya cuando ven que te esperas te ven con una cara de asco y ya te hacen pasar y te atienden de mala gana te hablan altaneramente y te ningunean ni siquiera dejan explicar bien la situación porque te están regañando como si fuera tu culpa ir allí encima denigran tu espacio en el auditorio como si lo que fueras hacer no vale nada como incitándote a cancelarla
felicitación,deberían de conectar todas las computadoras a internet
felicitación,felicidades por una actividad movida me obligo a hablar con alguien
sugerencia,mejor gestión en los cables de internet y su repartición
felicitación,felicitacion buena información
sugerencia,le hace falta internet a las compus así como alguno que otro programa necesario
sugerencia,el servicio de internet es intermitente no es constante y en ocasiones no funciona como debería
sugerencia,siento que sería buena idea que dejaran inscribir materias del semestre en el que estás es dexir aunque estes cursando materias dejaran 5to te dejaran meter de 8vo si ese es tu semestre pero solo cuando sea una materia del semestre más bajo
felicitación,todo bien por el momento
queja,ya es cansado hacer todo esto
sugerencia,mesa de la computadora 1 y 2 está muy floja se puede caer
felicitación,felicidades al final arreglaron las compis sin internet
sugerencia,el servicio se llevo correctamente como unico problema mencionaria que las aplicaciones de adobe e internet explorer se quedaron congeladas y fui capaz de cerrarlas al estar bloqueado el administrador de tareas
sugerencia,deberían de verificar el sistema de citas ya que tuve un problema con mi reinscripción y no perdí cupo en una materia
felicitación,muy buena compu
sugerencia,consultoria mejor guiada a los estudiantes para ser participe en las elecciones escolares
sugerencia,que no sean tan apáticos
felicitación,el trámite fue sencillo me atendieron con una buena actitud y muy comprensivos y directos totalmente satisfecho por la ayuda otorgada ya que me han ayudado a otorgar soluciones de acuerdo a mi situación
felicitación,me gustó los equipos
queja,muy mal cambio innecesario andar buscando salones en otros edificios y moviéndose de pisos
queja,las máquinas no cuentan con linux y se va a cada rato el internet
queja,el que me atendió en gestión escolar se portó de manera grosera e incompetente tomando como prioridad su superioridad
queja,El sistema presenta fallas constantes
sugerencia,las computadoras no tenían internet pero no fue buen servicio
queja,simplemente necesitaba una respuesta que no duraría ni 5 minutos y obviamente si hay un horario pero no costaba nada y si se hace un trámite obviamente es en horario
sugerencia,falta internet en las compus
felicitación,se agradece el uso de azure
sugerencia,agregar más programas
sugerencia,la máquina dos le falla el click izquierdo al mouse lo cual complica un poco su uso
sugerencia,el internet intermitente no me permitió hacer mi trabajo
felicitación,me atendieron muy rápido
sugerencia,excelente servicio si no cuentas con una pc
sugerencia,el mousse de la máquina 2 presenta problemas en el click izquierdo
sugerencia,agregar lector de disco
sugerencia,simplemente que en el futuro puedan haber más máquinas con conexión de internet
felicitación,son muy amables y atentos
felicitación,la máquina funciona bien
sugerencia,que no sea al aire libre
queja,la mayoría del personal no todos pareciera que te hacen un favor cuando solicitas informacion ya sea en ventanilla o por vía telefonica en mas de una ocasion se han limitado a decirme que la informacion se encuentra en la pagina sin embargo a veces he encontrado url a formularios vencidos o con informacion de semestres anteriores
felicitación,muy bien equipo
felicitación,buen servicio y atención
sugerencia,me gustó la actividad pero no me gustó que los grupos de otras carreras estén combinados
felicitación,solo que hacen falta algunas herramientas de programación como compiladores apropiados
felicitación,el profesor es realmente amable y busco apoyarme en todo aspecto
queja,no había internet en las computadoras
queja,el chico siempre pide llenar la encuesta y me quita tiempo
queja,la mayoría de los horarios y días sobre las actividades deportivas están mal
felicitación,el internet es un poco malo
felicitación,muy buen servicio son comprometidos a cuidar el aula de uso libre y hay una muy buena administración por parte de los encargados
queja,La atención no fue adecuada
felicitación,buena actitud equipo funcional y rápido
sugerencia,no había internet en las máquinas
queja,no tenía internet la computadora
felicitación,facilidad de uso
sugerencia,que en el futuro en lo más posible pueda aumentar el número de computadoras con conexión de internet
queja,las computadoras no tienen internet y se tarda en buscar una con internet
sugerencia,facilitar la información sobre qué cubículos están asignados y a qué profesor pertenece cada cubículo
queja,Hubo errores durante el proceso
felicitación,simplemente una felicitación
felicitación,use una computadora con internet
queja,específicamente en el edificio de ia la red de internet es muy deficiente muchas veces hemos tenido la necesidad de este y no nos es posible
queja,El trámite tardó demasiado
queja,las computadoras están muy lentas y ni siquiera están conectadas a un internet estable
sugerencia,no hay internet en algunas máquinas
felicitación,buena actitud siempre tienen buena actitud
sugerencia,la distribución de salones de este semestre es confusa
queja,no funciona nada bien el wifi de las palapas de ia urge lo reparen ya que se ocupa para hacer tareas trabajos y demás en clases libres ademas que cuando estamos en clases en el edificio 4 no hay internet no es posible que siendo una de las mejores escuelas de cómputo no tengamos acceso a internet es esa zona que es para trabajar
felicitación,el servicio estuvo bien
sugerencia,no tienen ubuntu
felicitación,ninguna muchas gracias
felicitación,ninguna queja buena atención y el equipo en un inicio mostraba complicaciones con word pero después funcionó correctamente
queja,las máquinas no se pueden usar para hacer tareas en horas libres no dejan programas ni tienen ningún programa o ide para poder hacer prácticas
felicitación,servicio rápido y atento
queja,El servicio no cumplió lo esperado
sugerencia,ojalá todas tuvieran internet y no tuviéramos que esperar hasta que se desocupen
queja,las computadoras del lcd01 se reinician con pantalla azul frecuentemente
felicitación,buen equipo de cómputo buena atención académica
felicitación,muy buen servicio
sugerencia,que en el futuro haya más ordenadores con conexión de internet
queja,no tiene internet posiblemente el cable esté trozado ya que cambie el de la 31 a la 32 y agarro el internet
felicitación,la máquina funcionó bien
sugerencia,me gustó las computadoras están bien los periféricos pero el mouse a veces falla de la ruedita
